Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (â‚¹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,MOST DIRECT ðŸš‚,1,12240,JP BCT DURON,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,1,445.79,238.0,1,100.0,100
OPT_ROUTE_01,MOST DIRECT ðŸš‚,2,12926,PASCHIM EXPR,SWM,KOTA,22:05:00,23:30:00,107.0,2h 48m,1h 10m,1,445.79,238.0,1,100.0,100
OPT_ROUTE_02,FASTEST âš¡,1,12240,JP BCT DURON,JP,SWM,19:10:00,20:55:00,131.0,3h 26m,0h 0m,1,422.37,239.0,1,100.0,100
OPT_ROUTE_02,FASTEST âš¡,2,20814,JODHPUR-PURI,SWM,KOTA,21:40:00,22:55:00,108.0,2h 50m,0h 45m,1,422.37,239.0,1,100.0,100
OPT_ROUTE_03,CHEAPEST ðŸ’°,1,12182,AII-JBP DAYO,JP,DPA,17:35:00,17:41:00,7.0,0h 11m,0h 0m,0,990.21,237.0,3,25.0,90
OPT_ROUTE_03,CHEAPEST ðŸ’°,2,14709,BKN PURI EXP,DPA,BNLW,23:39:00,00:18:00,58.0,1h 31m,5h 58m,1,990.21,237.0,3,25.0,90
OPT_ROUTE_03,CHEAPEST ðŸ’°,3,12396,ZIYARAT EXPR,BNLW,SWM,03:41:00,04:50:00,65.0,1h 42m,3h 23m,0,990.21,237.0,3,25.0,90
OPT_ROUTE_03,CHEAPEST ðŸ’°,4,15668,KAMAKHYA-GAN,SWM,KOTA,05:45:00,07:05:00,107.0,2h 48m,0h 55m,0,990.21,237.0,3,25.0,90
OPT_ROUTE_04,FAST #1 âš¡,1,12182,AII-JBP DAYO,JP,DPA,17:35:00,17:41:00,7.0,0h 11m,0h 0m,0,990.21,237.0,3,25.0,90
OPT_ROUTE_04,FAST #1 âš¡,2,14709,BKN PURI EXP,DPA,BNLW,23:39:00,00:18:00,58.0,1h 31m,5h 58m,1,990.21,237.0,3,25.0,90
OPT_ROUTE_04,FAST #1 âš¡,3,12396,ZIYARAT EXPR,BNLW,SWM,03:41:00,04:50:00,65.0,1h 42m,3h 23m,0,990.21,237.0,3,25.0,90
OPT_ROUTE_04,FAST #1 âš¡,4,22443,CNB-BDTS EXP,SWM,KOTA,05:45:00,07:05:00,107.0,2h 48m,0h 55m,0,990.21,237.0,3,25.0,90
